hin_Deva,sat_Olck
शादी के रजिस्ट्रेशन में गवाह कौन बन सकता है?,ᱵᱟᱯᱞᱟ ᱴᱷᱟᱲᱚᱜᱟᱴᱟᱭ ᱨᱮᱱ ᱥᱟᱹᱠᱷᱤ ᱚᱠᱚᱭ ᱦᱩᱭᱩᱜᱼᱟ ?
हिंदू विवाह अधिनियम के तहत आपको शादी के समारोह के एक महीने के भीतर शादी का रजिस्ट्रेशन करा लेना चाहिए।,"ᱦᱤᱱᱫᱩ ᱵᱟᱯᱞᱟ ᱟᱹᱱ ᱟᱶᱛᱟᱨᱮ, ᱟᱢ ᱵᱟᱯᱞᱟ ᱟᱠᱷᱟᱲᱟ ᱨᱮᱭᱟᱜ ᱢᱤᱫ ᱪᱟᱸᱫᱳ ᱢᱩᱫᱨᱮ ᱟᱢᱟᱜ ᱵᱟᱯᱞᱟ ᱴᱷᱟᱲᱚᱜᱚᱴᱟᱭ ᱦᱩᱭᱩᱜ ᱛᱟᱢᱟ ᱾"
"दूल्हा और दुल्हन, दोनों ही तीन गवाहों की मौजूदगी में रजिस्टर में हस्ताक्षर करते हैं।",ᱡᱟᱶᱟᱭ ᱟᱨ ᱡᱟᱶᱟᱭ ᱡᱚᱛᱚᱜᱮ ᱯᱮ ᱦᱚᱲ ᱥᱟᱹᱠᱷᱤ ᱠᱚᱣᱟᱜ ᱥᱮᱴᱮᱨ ᱨᱮ ᱨᱮᱡᱤᱥᱴᱟᱨ ᱨᱮᱠᱚ ᱥᱩᱦᱤ ᱠᱮᱫᱟ ᱾
दोनों ही पक्षों के माता-पिता या अभिभावक रजिस्ट्रेशन के दौरान मौजूद होने चाहिए।,ᱴᱷᱟᱲᱚᱭ ᱚᱠᱛᱮ ᱡᱚᱛᱚ ᱜᱟᱫᱮᱞ ᱨᱮᱱ ᱜᱚᱼᱵᱟᱵᱟ ᱥᱮ ᱜᱟᱹᱞᱤᱢ ᱠᱚᱣᱟᱜ ᱥᱮᱴᱮᱨ ᱛᱟᱦᱮᱸᱱ ᱦᱩᱭᱩᱜᱼᱟ ᱾
एफिडेविट के लिए किन दस्तावेज़ों की जरूरत पड़ेगी?,ᱦᱚᱞᱚᱯᱱᱟᱢᱟᱭ ᱞᱟᱹᱜᱤᱫ ᱚᱠᱟ ᱱᱚᱛᱷᱤ ᱞᱟᱹᱠᱛᱤ ᱢᱮᱱᱟᱜᱼᱟ ?
"आवेदन पत्र, पहचान प्रमाणपत्र, पते का प्रमाण, जन्म की तारीख का प्रमाण-पत्र, दुल्हन और दूल्हे की दो पासपोर्ट तस्वीरें एकदम आवश्यक हैं।","ᱟᱹᱨᱡᱤᱥᱟᱠᱟᱢ, ᱟᱭᱰᱤ ᱯᱨᱩᱯ, ᱴᱷᱤᱠᱟᱹᱱᱟ ᱨᱮᱭᱟᱜ ᱥᱟᱵᱩᱫ, ᱡᱟᱱᱟᱢ ᱢᱟᱹᱦᱤᱛ ᱨᱮᱭᱟᱜ ᱥᱟᱵᱩᱫ, ᱡᱟᱶᱟᱭ ᱟᱨ ᱵᱟᱹᱦᱩᱣᱟᱜ ᱵᱟᱱᱟᱨ ᱯᱟᱥᱯᱳᱴ ᱪᱤᱛᱟᱹᱨ ᱱᱤᱦᱟᱹᱛᱜᱮ ᱞᱟᱹᱠᱛᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱾"
"अगर कोई तलाकशुदा या विधवा / विधुर है, तो तलाक का न्यायिक निर्णय या फिर पिछले साथी की मृत्यु का प्रमाण-पत्र लगाना जरूरी है।",ᱵᱟᱯᱟᱜ ᱥᱮ ᱨᱟᱸᱰᱤ/ᱵᱤᱫᱷᱩᱣᱟᱜ ᱴᱷᱟᱶ ᱨᱮ ᱵᱟᱯᱟᱜ ᱰᱤᱜᱨᱤ ᱥᱮ ᱦᱟᱦᱟᱛᱮᱱ ᱵᱟᱹᱦᱩᱣᱟᱜ ᱜᱚᱡ ᱥᱤᱫ ᱥᱟᱠᱟᱢ ᱞᱟᱹᱠᱛᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱾
"हैलो, मैं पहली बार ई-वीज़ा के लिए एप्लाई कर रही हूँ।","ᱦᱮᱞᱳ, ᱱᱮ ᱯᱩᱭᱞᱩ ᱫᱷᱚᱢ ᱤᱼᱵᱷᱤᱥᱟᱨ ᱞᱟᱹᱜᱤᱫ ᱤᱧ ᱟᱹᱨᱡᱤᱭᱮᱫᱟ ᱾"
मुझे उम्मीद है कि आप मुझे बताएंगे कि एप्लाई करने के लिए मुझे कौन-कौन से डॉक्यूमेंट चाहिए।,ᱤᱧ ᱟᱥᱟᱭᱮᱫ ᱛᱟᱦᱮᱸ ᱠᱟᱱᱟ ᱟᱢ ᱤᱧ ᱮᱢ ᱞᱟᱹᱭ ᱫᱟᱲᱮ ᱟᱹᱧᱟᱹ ᱤᱧᱟᱹᱜ ᱟᱹᱨᱡᱤ ᱞᱟᱹᱜᱤᱫ ᱪᱮᱫ ᱪᱮᱫ ᱱᱚᱛᱷᱤ ᱞᱟᱹᱠᱛᱤᱭᱟ ᱾
"बिल्कुल, अच्छा किया कि आपने मुझे कॉल कर लिया।","ᱱᱤᱦᱟᱹᱛ ᱜᱮ, ᱤᱧ ᱟᱹᱰᱤ ᱨᱟᱹᱥᱠᱟᱹᱧ ᱟᱹᱭᱠᱟᱹᱣ ᱮᱫᱟ ᱡᱮ ᱟᱢ ᱤᱧ ᱮᱢ ᱦᱚᱦᱚ ᱟᱠᱟᱫᱤᱧᱟᱹ ᱾"
क्या मैं जान सकती हूँ कि आपको कौन-से देश के लिए वीज़ा चाहिए?,ᱤᱧ ᱪᱮᱫ ᱤᱧ ᱠᱩᱞᱤ ᱫᱟᱲᱮᱭᱟᱢᱟ ᱟᱢᱟᱜ ᱚᱠᱟ ᱫᱤᱥᱚᱢ ᱨᱮᱭᱟᱜ ᱵᱷᱤᱥᱟ ᱞᱟᱜᱟᱜᱼᱟ ?
मुझे इंडिया के लिए टूरिस्ट वीज़ा चाहिए।,ᱤᱧᱟᱹᱜ ᱵᱷᱟᱨᱚᱛ ᱨᱮᱭᱟᱜ ᱞᱟᱹᱜᱤᱫ ᱢᱤᱫᱴᱟᱝ ᱴᱩᱨᱤᱥᱴ ᱵᱷᱤᱥᱟ ᱫᱚᱨᱠᱟᱨ ᱾
मैं एक हफ़्ते के लिए जाऊँगी।,ᱤᱧ ᱢᱤᱫ ᱥᱟᱯᱛᱟ ᱞᱟᱹᱜᱤᱫ ᱤᱧ ᱛᱩᱝᱠᱷᱤ ᱛᱚᱞᱚᱥᱟ ᱾
"ठीक है, सबसे ज़रूरी डॉक्यूमेंट जो आपके पास होना चाहिए वो है पासपासपोर्ट।","ᱡᱚᱛᱷᱟᱛ ᱜᱮᱭᱟ, ᱟᱢᱟᱜ ᱡᱚᱛᱚᱠᱷᱚᱱ ᱞᱟᱹᱠᱛᱤᱭᱟᱱᱟᱜ ᱱᱚᱛᱷᱤ ᱫᱚ ᱢᱤᱫᱴᱟᱝ ᱯᱟᱥᱯᱳᱴ ᱞᱟᱹᱠᱛᱤ ᱾"
आपको यह जाँच लेना होगा कि पासपोर्ट इंडिया में पहुँचने की तारीख़ से कम से कम छह महीने तक के लिए वैध है।,ᱟᱢ ᱴᱷᱤᱠᱟᱹ ᱦᱩᱭᱩᱜ ᱛᱟᱢᱟ ᱡᱮ ᱯᱟᱥᱯᱳᱴ ᱫᱚ ᱵᱷᱟᱨᱚᱛ ᱨᱮ ᱦᱮᱡᱩᱜ ᱨᱮᱭᱟᱜ ᱢᱟᱦᱟ ᱨᱮ ᱠᱚᱢ ᱠᱟᱨᱛᱮ ᱛᱩᱨᱩᱭ ᱪᱟᱸᱫᱳ ᱞᱟᱹᱜᱤᱫ ᱟᱹᱨᱤᱭᱟᱱ ᱾
हमारे पास ऐसे कई केस आते हैं जो सिर्फ़ इसी कारण से ख़ारिज कर दिए जाते हैं।,ᱟᱞᱮ ᱟᱭᱢᱟ ᱠᱮᱥ ᱞᱮ ᱧᱟᱢᱟ ᱡᱟᱦᱟᱸ ᱠᱚ ᱱᱚᱶᱟ ᱚᱡᱮᱛᱮ ᱠᱷᱟᱨᱤᱡ ᱦᱩᱭᱩᱜᱼᱟ ᱾
"हाँ, मैंने पहले ही अपने पासपोर्स की वैधता चेक कर ली है और वह ठीक वैसी ही है जैसा आप बता रहे हैं।","ᱦᱮᱸ, ᱤᱧ ᱱᱮᱦᱟᱹᱞᱤᱜᱮ ᱤᱧᱟᱹᱜ ᱯᱟᱥᱯᱳᱴ ᱨᱮᱭᱟᱜ ᱟᱹᱨᱤᱭᱟᱱ ᱵᱤᱰᱟᱹᱣ ᱠᱟᱛᱮᱞᱮ ᱧᱮᱞᱟ, ᱟᱨ ᱟᱢ ᱡᱟᱦᱟᱸᱢ ᱢᱮᱱ ᱟᱠᱟᱫᱟ ᱚᱱᱟ ᱢᱟᱱᱟᱣ ᱠᱟᱛᱮ ᱪᱟᱞᱟᱜ ᱢᱮ ᱾"
क्या मुझे और किसी चीज़ की ज़रूरत होगी?,ᱤᱧᱟᱹᱜ ᱟᱨ ᱠᱟᱹᱪ ᱡᱟᱹᱨᱩᱲ ᱢᱮᱱᱟᱜᱼᱟ ᱪᱮᱫ ?
"हाँ, फिर ठीक है।","ᱡᱚᱛᱷᱟᱛ ᱜᱮᱭᱟ, ᱮᱱᱠᱷᱟᱱ ᱵᱷᱟᱜᱮ ᱾"
अगली चीज़ जो आपको लगेगी वह है वैध ईमेल आई.डी.।,ᱫᱚᱥᱟᱨ ᱡᱤᱱᱤᱥ ᱟᱢᱟᱜ ᱞᱟᱹᱠᱛᱤᱭᱟᱱ ᱢᱤᱫᱴᱟᱝ ᱪᱟᱞᱩ ᱤᱼᱢᱮᱞ ᱟᱭᱰᱤ ᱾
"प्लीज़ इसका भी ध्यान रखियेगा क्योंकि जब इंडियन वीज़ा प्रोसेस होकर स्वीकार हो जाता है, तो वह एप्लिकेशन पर दिए गए ईमेल पते पर सीधे भेज दिया जाता है।","ᱱᱮᱦᱚᱨ ᱥᱟᱞᱟᱜ ᱱᱚᱶᱟ ᱵᱟᱨᱮᱛᱮ ᱥᱚᱱᱛᱚᱨ ᱛᱟᱦᱮᱸᱱ ᱢᱮ, ᱡᱟᱦᱟᱸ ᱠᱷᱟᱹᱛᱤᱨ ᱱᱚᱶᱟ ᱢᱤᱫᱴᱟᱝ ᱵᱷᱟᱨᱚᱛᱤᱭᱟᱹ ᱵᱷᱤᱥᱟ ᱦᱚᱨᱟ ᱟᱱᱟᱜ ᱟᱨ ᱥᱟᱹᱠᱷᱤᱭᱟᱹᱛ ᱠᱚᱨᱟᱣ ᱟᱠᱟᱱᱟ, ᱱᱚᱶᱟ ᱥᱟᱢᱟᱝᱫᱟᱯᱨᱟᱢ ᱟᱹᱨᱡᱤᱨᱮ ᱮᱢᱟᱠᱟᱱ ᱤᱼᱢᱮᱞ ᱴᱷᱤᱠᱟᱹᱱᱟ ᱵᱷᱮᱡᱟ ᱦᱩᱭᱩᱜᱼᱟ ᱾"
अगर मैं पर्सनल के बजाय ऑफ़िशियल आई.डी. का इस्तेमाल करूँ तो चलेगा क्या?,ᱤᱧ ᱡᱚᱫᱤ ᱟᱯᱱᱟᱨ ᱟᱱᱟᱜ ᱟᱭᱰᱤ ᱵᱮᱣᱦᱟᱨ ᱵᱟᱝ ᱠᱟᱛᱮ ᱢᱤᱫᱴᱟᱝ ᱚᱯᱷᱤᱥᱤᱭᱟᱞ ᱟᱭᱰᱤ ᱵᱮᱣᱦᱟᱨᱼᱟ ᱮᱱᱠᱷᱟ ᱪᱮᱫ ᱡᱚᱛᱷᱟᱛ ᱢᱮᱱᱟᱜᱼᱟ ?
मैं अपने पर्सनल आई.डी. पर मेल बहुत ज़्यादा बार चेक नहीं करती।,ᱤᱧ ᱤᱧᱟᱹᱜ ᱟᱯᱱᱟᱨ ᱟᱱᱟᱜ ᱢᱮᱞᱠᱚ ᱜᱷᱟᱱᱮ ᱜᱮ ᱵᱟᱹᱧ ᱪᱮᱠᱼᱟ ᱾
उससे कोई फ़र्क नहीं पड़ता।,ᱱᱚᱶᱟ ᱚᱠᱟ ᱵᱮᱯᱟᱨ ᱵᱟᱝ ᱠᱟᱱᱟ ᱾
"ई-मेल पता चालू होना चाहिए, बस।","ᱤᱼᱢᱮᱞ ᱮᱰᱨᱮᱥ ᱫᱚ ᱪᱮᱜᱟᱸ ᱜᱮ ᱛᱟᱦᱮᱸᱱ ᱦᱩᱭᱩᱜ ᱛᱟᱢᱟ, ᱱᱚᱶᱟ ᱥᱩᱢᱩᱝ ᱾"
क्या मुझे बस इतनी ही चीज़ें लगेंगी?,ᱱᱚᱶᱟ ᱤᱧ ᱞᱟᱹᱠᱛᱤᱭᱟᱱ ᱡᱟᱦᱟᱸ ᱥᱩᱢᱩᱝ ᱫᱩᱨᱤᱵᱽ ?
ई-वीज़ा इंडिया प्रमाण से जुड़ी ज़रूरतें भी हैं जो इंडिया में ट्रैवल करने की अनुमति के लिए ज़रूरी हैं।,ᱱᱚᱶᱟ ᱪᱷᱟᱰᱟᱜᱮ ᱤᱼᱵᱷᱤᱥᱟ ᱤᱱᱰᱤᱭᱟ ᱨᱮᱭᱟᱜ ᱥᱟᱹᱵᱩᱫ ᱨᱮᱭᱟᱜ ᱞᱟᱹᱠᱛᱤᱭᱟᱱ ᱢᱮᱱᱟᱜᱼᱟ ᱡᱟᱦᱟᱸ ᱵᱷᱟᱨᱚᱛ ᱨᱮ ᱥᱟᱸᱜᱷᱟᱨ ᱨᱮᱭᱟᱜ ᱥᱟᱹᱠᱷᱤᱭᱟᱹᱛ ᱧᱟᱢᱚᱜ ᱞᱟᱹᱜᱤᱫ ᱞᱟᱹᱠᱛᱤᱭᱟᱱ ᱾
आवेदकों को अपने वैध पासपोर्ट के पहले पेज या बायोग्राफ़िकल पेज की स्कैन की हुई कलर कॉपी जमा करनी होगी।,ᱟᱹᱨᱡᱤᱟᱠᱟᱫᱠᱚ ᱟᱠᱚᱣᱟᱜ ᱟᱹᱨᱤᱟᱱ ᱯᱟᱥᱯᱳᱴ ᱨᱮᱭᱟᱜ ᱯᱩᱭᱞᱩ ᱥᱟᱦᱴᱟ ᱥᱮ ᱡᱤᱭᱚᱱ ᱪᱩᱨᱤᱛ ᱥᱟᱦᱴᱟ ᱨᱮᱭᱟᱜ ᱢᱤᱫᱴᱟᱝ ᱤᱥᱠᱮᱱ ᱠᱚᱨᱟᱣ ᱨᱚᱝᱤᱱ ᱠᱚᱯᱤ ᱡᱚᱢᱟ ᱦᱩᱭᱩᱜ ᱛᱟᱢᱟ ᱾
"हर आवेदक को हाल की पासपोर्ट-स्टाइल, कलर फ़ोटो भी जमा करनी होगा","ᱡᱚᱛᱚ ᱟᱹᱨᱡᱤᱟᱠᱟᱫ ᱠᱚ ᱢᱤᱫᱴᱟᱝ ᱱᱟᱦᱟᱜ ᱯᱟᱥᱯᱳᱴᱼᱤᱥᱴᱟᱭᱤᱞ, ᱨᱚᱝᱤᱱ ᱪᱤᱛᱟᱹᱨ ᱡᱚᱢᱟ ᱦᱩᱭᱩᱜ ᱛᱟᱢᱟ ᱾"
यह तो बहुत सारी चीज़ें हैं।,ᱡᱟᱦᱟᱸ ᱤᱥᱯᱷᱤᱠᱮᱥᱚᱱ ᱵᱮᱥ ᱟᱭᱢᱟ ᱾
मैं लिख लेती हूँ ताकि कहीं भूल न जाऊँ।,ᱤᱧ ᱱᱚᱶᱟ ᱱᱳᱴᱼᱟ ᱟᱹᱧ ᱡᱟᱦᱟᱸᱛᱮ ᱤᱧ ᱵᱟᱹᱧ ᱦᱤᱲᱤᱧ ᱾
यह अच्छा रहेगा।,ᱱᱚᱶᱟ ᱟᱹᱰᱤ ᱵᱷᱟᱜᱮ ᱩᱭᱦᱟᱹᱨ ᱵᱷᱟᱵᱱᱟ ᱾
आपके पास डेबिट या क्रेडिट कार्ड भी होना चाहिए।,ᱟᱢᱟᱜ ᱢᱤᱫᱴᱟᱝ ᱰᱮᱵᱤᱴ ᱥᱮ ᱠᱨᱮᱰᱤᱴ ᱠᱟᱨᱰ ᱦᱚᱸ ᱞᱟᱹᱠᱛᱤ ᱾
"हाँ, मेरे पास एक है।","ᱡᱚᱛᱷᱟᱛ ᱜᱮᱭᱟ, ᱤᱧᱟᱹᱜ ᱜᱚᱵᱚᱞ ᱨᱮ ᱢᱤᱫᱴᱟᱝ ᱢᱮᱱᱟᱜᱼᱟ ᱾"
"अगर मुझे कुछ पूछना हो, तो क्या मैं फिर कॉल कर सकती हूँ?",ᱤᱧᱟᱹᱜ ᱮᱴᱟᱜ ᱡᱟᱦᱟᱸᱱ ᱦᱤᱸᱫᱤᱡ ᱛᱟᱦᱮᱸ ᱞᱮᱱᱠᱷᱟᱱ ᱤᱧ ᱟᱵᱟᱨ ᱠᱚᱞ ᱞᱮᱠᱷᱟᱱ ᱪᱮᱫ ᱡᱚᱛᱷᱟᱛ ᱦᱩᱭᱩᱜᱼᱟ ?
"बिल्कुल, अगर आप कुछ और पूछना चाहें तो हमसे संपर्क कर सकती हैं।","ᱱᱤᱦᱟᱹᱛ ᱜᱮ, ᱡᱟᱦᱟᱸᱱ ᱠᱩᱠᱞᱤ ᱠᱷᱮᱛᱨᱚ ᱨᱮ ᱟᱞᱮᱭᱟᱜ ᱥᱟᱶᱛᱮ ᱵᱮᱜᱚᱨ ᱫᱷᱤᱜᱟᱹᱛᱟᱹ ᱛᱮ ᱡᱳᱜᱟᱡᱳᱜ ᱢᱮ ᱾"
मुझे इस साल एक विदेशी भाषा लेनी होगी।,ᱤᱧ ᱱᱚᱶᱟ ᱥᱮᱨᱢᱟ ᱠᱷᱚᱱ ᱢᱤᱫᱴᱟᱝ ᱵᱤᱞᱟᱹᱛ ᱯᱟᱹᱨᱥᱤ ᱦᱟᱛᱟᱣ ᱦᱩᱭᱩᱜ ᱛᱤᱧᱟᱹ ᱾
मैं तय नहीं कर पा रही हूँ कि कौन सी लूं।,ᱚᱠᱟᱴᱟᱜ ᱦᱟᱛᱟᱣ ᱦᱩᱭᱩᱜ ᱛᱤᱧᱟᱹ ᱤᱧ ᱵᱟᱹᱧ ᱴᱷᱤᱠᱟᱹ ᱟᱠᱟᱫᱟ ᱾
बहुत सारे ऑप्शन हैं।,ᱟᱭᱢᱟ ᱚᱯᱥᱚᱱ ᱢᱮᱱᱟᱜᱼᱟ ᱾
सच पूछो तो मैं कन्फ्यूज़ हूँ।,"ᱥᱟᱹᱨᱤ ᱢᱮᱱᱛᱮ ᱪᱮᱫ, ᱤᱧ ᱵᱷᱤᱲᱠᱟᱹᱣ ᱾"
तुम्हारे हिसाब से मुझे कौन सी भाषा लेनी चाहिए?,ᱤᱧᱟᱹᱜ ᱡᱟᱦᱟᱸᱱ ᱯᱟᱹᱨᱥᱤ ᱦᱟᱛᱟᱣ ᱞᱟᱹᱠᱛᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱢᱮᱱᱛᱮ ᱟᱢ ᱢᱚᱱᱮᱭᱟ ?
मेरे हिसाब से तुम्हें वही लेनी चाहिए जो तुम्हें पसंद हो।,ᱤᱧ ᱟᱢ ᱠᱩᱥᱤ ᱠᱟᱛᱮ ᱱᱚᱝᱠᱟᱱ ᱢᱤᱫᱴᱟᱝ ᱵᱟᱪᱷᱟᱣ ᱞᱟᱹᱜᱤᱫ ᱯᱚᱨᱟᱢᱚᱨᱥᱚᱧ ᱮᱢᱟᱢᱟ ᱾
ऐसे में उसे सीखने में तुम्हारी दिलचस्पी बनी रहेगी।,"ᱱᱚᱣᱟ ᱞᱮᱠᱟᱛᱮ, ᱟᱢᱟᱜ ᱱᱚᱶᱟ ᱪᱮᱪᱮᱫ ᱨᱮᱭᱟᱜ ᱡᱷᱩᱸᱠ ᱛᱟᱦᱮᱸᱱᱟ ᱾"
"साथ ही, तुम्हें ऐसा भी नहीं लगेगा कि जोर-जबरदस्ती से तुम्हें पढ़नी पड़ रही है।","ᱱᱚᱶᱟ ᱪᱷᱟᱰᱟ, ᱟᱢ ᱱᱚᱶᱟ ᱪᱮᱫ ᱞᱟᱹᱜᱤᱫ ᱵᱚᱲᱦᱮ ᱟᱱᱟᱜ ᱵᱟᱢ ᱟᱹᱭᱠᱟᱹᱣᱼᱟ ᱾"
यही तो प्रॉब्लम है।,ᱚᱱᱟᱜᱮᱛᱚ ᱟᱹᱡᱷᱟᱴ ᱫᱚ ᱾
मुझे तो लगता है कि मुझे हर भाषा पसंद है।,ᱤᱧ ᱢᱚᱱᱮᱭᱟ ᱤᱧ ᱡᱚᱛᱚ ᱯᱟᱹᱨᱥᱤ ᱤᱧ ᱠᱩᱥᱤᱭᱟᱼᱟ ᱾
"अगर मैं ऐसा कर सकती, तो मैं तो सभी को चुन लेती।","ᱢᱮᱱᱠᱷᱟᱱ ᱤᱧᱟᱹᱜ ᱢᱤᱫᱴᱟᱝ ᱵᱷᱮᱜᱟᱨ ᱛᱟᱦᱮᱸ ᱠᱟᱱᱟ, ᱤᱧ ᱩᱱᱠᱩᱣᱟᱜ ᱡᱚᱛᱚᱧ ᱟᱸᱜᱚᱪᱟ ᱾"
अगले साल मैं केवल एक ही ले सकती हूँ।,"ᱫᱚᱥᱟᱨ ᱥᱮᱨᱢᱟ ᱞᱟᱹᱜᱤᱫ, ᱤᱧ ᱠᱮᱵᱚᱞ ᱢᱤᱫᱴᱟᱝ ᱤᱧ ᱦᱟᱛᱟᱣ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ᱾"
तो मैं कहूंगी कि तुम ऐसी भाषा लो जो तुम्हारे सबसे ज्यादा काम आए।,ᱮᱱᱠᱷᱟᱱ ᱤᱧ ᱟᱢ ᱞᱟᱹᱜᱤᱫ ᱡᱚᱛᱚᱠᱷᱚᱱ ᱡᱟᱹᱨᱩᱲᱟᱱ ᱢᱤᱫᱴᱟᱝ ᱯᱟᱹᱨᱥᱤ ᱦᱟᱛᱟᱣ ᱨᱮᱭᱟᱜ ᱯᱚᱨᱟᱢᱚᱨᱥᱚᱧ ᱮᱢᱟᱢᱟ ᱾
ऐसी जो भविष्य में तुम्हारे लिए उपयोगी रहे।,ᱡᱟᱦᱟᱸ ᱟᱜᱟᱢ ᱨᱮ ᱥᱚᱦᱚᱫᱤᱡ ᱦᱩᱭᱩᱜᱼᱟ ᱾
तुमने यह तय किया है क्या कि भविष्य में तुम क्या बनना चाहती हो?,ᱟᱢ ᱪᱮᱫ ᱟᱜᱟᱢ ᱨᱮ ᱪᱮᱫ ᱦᱩᱭᱩᱜ ᱥᱟᱱᱟᱢᱮᱭᱟ ᱚᱱᱟᱢ ᱴᱷᱟᱹᱣᱠᱟᱹ ᱟᱠᱟᱫᱟ ?
मैंने तो इस बारे में कुछ नहीं तय किया है।,ᱤᱧ ᱚᱱᱟᱞᱮᱠ ᱠᱟᱹᱪ ᱜᱚᱴᱟ ᱴᱷᱤᱠ ᱵᱟᱹᱧ ᱦᱟᱛᱟᱣ ᱟᱠᱟᱫᱟ ᱾
क्या तुम बता सकती हो कि किस क्षेत्र में कौन सी भाषा काम आएगी?,ᱟᱢ ᱤᱧᱮᱢ ᱞᱟᱹᱭ ᱫᱟᱲᱮ ᱟᱹᱧᱟᱹ ᱚᱠᱟ ᱯᱟᱹᱨᱥᱤ ᱚᱠᱟ ᱴᱷᱟᱶ ᱞᱟᱹᱜᱤᱫ ᱡᱟᱹᱨᱩᱲᱟᱱ ?
इससे बाद मुझे चुनने में बहुत मदद मिलेगी।,ᱛᱟᱭᱚᱢ ᱵᱟᱪᱷᱱᱟᱣ ᱠᱚᱨᱟᱣ ᱤᱧ ᱞᱟᱹᱜᱤᱫ ᱥᱟᱹᱨᱤᱜᱮ ᱫᱚᱦᱚᱫᱤᱡ ᱦᱩᱭᱩᱜᱼᱟ ᱾
"अगर तुम साहित्य लेना चाहती हो, तो फ्रेंच उसके लिए सबसे अच्छी रहेगी।",ᱟᱢ ᱡᱚᱫᱤ ᱥᱟᱶᱷᱮᱫ ᱟᱸᱜᱚᱪ ᱥᱟᱱᱟᱢᱮᱭᱟ ᱮᱱᱠᱷᱟᱱ ᱯᱷᱚᱨᱟᱥᱤ ᱦᱩᱭᱩᱜᱼᱟ ᱚᱱᱟ ᱞᱟᱹᱜᱤᱫ ᱥᱚᱨᱮᱥ ᱾
बहुत सारी साहित्यिक कृतियाँ हैं जो तुम पढ़ सकोगी।,ᱟᱢ ᱯᱟᱲᱦᱟᱣ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ᱡᱮ ᱥᱟᱶᱷᱮᱫ ᱠᱟᱹᱢᱤ ᱟᱹᱰᱤ ᱰᱷᱮᱨ ᱢᱮᱱᱟᱜᱼᱟ ᱾
अगर तुम एंटरटेनमेंट के फील्ड में जाना चाहती हो तो कोरियन फायदेमंद है।,"ᱟᱢ ᱡᱚᱫᱤ ᱨᱟᱹᱥᱠᱟᱹᱣᱟᱱ ᱴᱷᱟᱶ ᱨᱮ ᱡᱟᱸᱜᱟ ᱫᱚᱦᱚ ᱥᱟᱱᱟ ᱢᱮᱭᱟ, ᱠᱳᱨᱤᱭᱟᱱ ᱮ ᱜᱚᱲᱚ ᱟᱢᱟ ᱾"
के-पॉप और के-ड्रामा आजकल बहुत चल रहे हैं।,ᱠᱮᱼᱯᱚᱯ ᱟᱨ ᱠᱮᱼᱜᱟᱭᱟᱱᱠᱚ ᱛᱮᱦᱮᱧ ᱜᱟᱯᱟ ᱟᱭᱢᱟ ᱦᱚᱲᱠᱩᱥᱤᱭᱟᱱ ᱮ ᱧᱟᱢᱟ ᱾
टूरिज़्म के लिए स्पैनिश वाकई उपयोगी होगी।,ᱤᱥᱯᱮᱱᱤᱥ ᱥᱟᱹᱨᱤᱜᱮ ᱥᱟᱸᱜᱷᱟᱨ ᱞᱟᱹᱜᱤᱫ ᱞᱟᱹᱠᱛᱤᱭᱟᱱ ᱦᱩᱭᱩᱜᱼᱟ ᱾
ये सब सुनने में बहुत सही लग रहा है।,ᱱᱚᱶᱟ ᱡᱚᱛᱚ ᱪᱚᱢᱠᱚᱨᱚᱡ ᱥᱟᱵᱟᱫ ᱾
मुझे लगता है कि आगे की पढ़ाई करने के लिए मैं साइंस लूंगी।,ᱤᱧ ᱢᱚᱱᱮᱭᱟ ᱤᱧ ᱤᱧᱟᱹᱜ ᱟᱨᱦᱚᱸ ᱯᱟᱲᱦᱟᱣ ᱞᱟᱹᱜᱤᱫ ᱥᱟᱬᱮᱥ ᱤᱧ ᱦᱟᱛᱟᱣᱼᱟ ᱾
साइंस की पढ़ाई के लिए कौन-कौन सी भाषाएं सबसे ज़्यादा काम आएंगी?,ᱥᱟᱬᱮᱥᱤᱭᱟᱹ ᱠᱷᱚᱸᱫᱽᱨᱚᱱᱤᱭᱟᱹ ᱞᱟᱹᱜᱤᱫ ᱡᱚᱛᱚ ᱯᱟᱹᱨᱥᱤ ᱨᱮ ᱚᱠᱟᱫᱚ ᱥᱚᱨᱮᱥ ?
तुम्हारे लिए जर्मन भाषा सबसे सही रहेगी।,ᱡᱟᱨᱢᱟᱱ ᱟᱢ ᱞᱟᱹᱜᱤᱫ ᱥᱚᱨᱮᱥ ᱯᱟᱹᱨᱥᱤ ᱦᱩᱭᱩᱜᱼᱟ ᱾
